track_id,title,genre_top,mp3_path,valence,energy,emotion_joy_excitement,emotion_peaceful_content,emotion_anger_tension,emotion_sadness,emotion_joy_excitement_softmax,emotion_peaceful_content_softmax,emotion_anger_tension_softmax,emotion_sadness_softmax
2,Food,Hip-Hop,../data/raw/fma_small/000/000002.mp3,0.576660988,0.6344762684,0.6062582082924424,0.48277608341959366,0.539340362963836,0.39548926498953485,0.275552639149332,0.2435437391184952,0.2577166776074098,0.2231869441247631
5,This World,Hip-Hop,../data/raw/fma_small/000/000005.mp3,0.6216612236,0.7014699916,0.6627679933593479,0.4876386176479224,0.5635602802021951,0.34077881069922267,0.2882169106167284,0.24191440924814517,0.2609961471557488,0.20887253297937763
10,Freeway,Pop,../data/raw/fma_small/000/000010.mp3,0.9635898919,0.9245251615,0.9442595654846326,0.6834478513458268,0.6542447822560202,0.059254313001058295,0.3411350373172379,0.2628192907557594,0.2552551465259654,0.1407905254010374
140,Queen Of The Wires,Folk,../data/raw/fma_small/000/000140.mp3,0.6099912728,0.2656847734,0.4704666575373717,0.6750215570293934,0.33368788269037686,0.5879309735456932,0.23675456120616672,0.2904928308386728,0.20648860369323319,0.2662640042619272
141,Ohio,Folk,../data/raw/fma_small/000/000141.mp3,0.1639499337,0.0756321472,0.12767106651531673,0.663828105781277,0.5935907407677098,0.8813159594181638,0.15557823502127308,0.2659493197759819,0.24791064986808484,0.3305617953346601
190,Castle Of Stars,Folk,../data/raw/fma_small/000/000190.mp3,0.2512323052,0.3712297429,0.31696150648754334,0.47878476760946875,0.5909587899294273,0.6913772837567437,0.20222425271867583,0.2377454360277081,0.2659676080298215,0.29406270322379463
193,Here With You,Folk,../data/raw/fma_small/000/000193.mp3,0.190789711,0.1640712523,0.17793269746557794,0.6062910130682929,0.5838410175958665,0.8226779938270969,0.16832459386744125,0.2583337974445154,0.25259882082912843,0.32074278785891497
194,All I want to Do,Folk,../data/raw/fma_small/000/000194.mp3,0.2532444151,0.2003375585,0.22832856930866322,0.5931242509479283,0.5467078931774636,0.7736614000727585,0.18049564463908532,0.2599533858364883,0.24816304556204957,0.31138792396237686
197,Piano 2,Folk,../data/raw/fma_small/000/000197.mp3,0.7700094571,0.0070436969,0.5445016885600337,0.8885034563493425,0.1627041233181504,0.7207141838792461,0.233322905271319,0.3291208871661758,0.1592739679710756,0.2782822395914294
200,Baby Come Home,Folk,../data/raw/fma_small/000/000200.mp3,0.3677399293,0.2951264558,0.3334158668349771,0.5621740695348009,0.4933824185733813,0.6695519062457511,0.20703766245719624,0.26025422028932016,0.24295282111282906,0.2897552961406545
203,Song For R,Folk,../data/raw/fma_small/000/000203.mp3,0.6310426834,0.1379182946,0.4567473723285362,0.7554467999330082,0.2785237489497484,0.6630665005329575,0.2265516216729051,0.3054152288547758,0.18956826665166923,0.2784648828206499
204,My Dream,Folk,../data/raw/fma_small/000/000204.mp3,0.2535385321,0.2261673577,0.24024306540296067,0.5758032413717478,0.5515235247695344,0.7602702418707517,0.18362204803068607,0.25683650991036,0.2506756864107998,0.30886575564815405
